timestamp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
25/09/2022,BTC,ETH,XRP,ADA,SOL,DOGE,DOT,MATIC,SHIB,TRX,AVAX,UNI,ATOM,ETC,LINK,LTC,XLM,CRO,NEAR,ALGO,XMR,BCH,APE,FLOW,FIL,VET,ICP,CHZ,QNT,HBAR,XTZ,,,,,,,,,
30/10/2022,BTC,ETH,XRP,DOGE,ADA,SOL,MATIC,DOT,SHIB,TRX,AVAX,UNI,ATOM,LTC,LINK,ETC,CRO,XLM,XMR,NEAR,ALGO,BCH,QNT,FLOW,VET,FIL,1000LUNC,APE,ICP,HBAR,EGLD,,,,,,,,,
27/11/2022,BTC,ETH,XRP,DOGE,ADA,MATIC,DOT,LTC,SOL,SHIB,TRX,UNI,AVAX,LINK,ATOM,ETC,XMR,BCH,TON,ALGO,CRO,FIL,QNT,APE,VET,NEAR,FLOW,HBAR,ICP,CHZ,,,,,,,,,,
25/12/2022,BTC,ETH,XRP,DOGE,ADA,MATIC,DOT,TRX,LTC,SHIB,SOL,UNI,AVAX,LINK,TON,XMR,ATOM,ETC,BCH,XLM,CRO,APE,QNT,ALGO,VET,NEAR,HBAR,ICP,FIL,EOS,1000LUNC,,,,,,,,,
29/01/2023,BTC,ETH,XRP,ADA,DOGE,MATIC,SOL,DOT,LTC,SHIB,AVAX,TRX,UNI,ATOM,LINK,XMR,ETC,TON,APT,BCH,XLM,APE,NEAR,CRO,FIL,LDO,ALGO,QNT,VET,ICP,HBAR,,,,,,,,,
26/02/2023,BTC,ETH,XRP,ADA,MATIC,DOGE,SOL,DOT,SHIB,LTC,TRX,AVAX,UNI,LINK,ATOM,ETC,TON,XMR,FIL,BCH,LDO,XLM,VET,APT,NEAR,CRO,HBAR,APE,ALGO,ICP,QNT,GRT,,,,,,,,
26/03/2023,BTC,ETH,XRP,ADA,DOGE,MATIC,SOL,DOT,LTC,SHIB,TRX,AVAX,LINK,UNI,ATOM,XMR,ETC,TON,XLM,BCH,FIL,APT,ICP,HBAR,LDO,NEAR,CRO,VET,ARB,ALGO,APE,,,,,,,,,
30/04/2023,BTC,ETH,XRP,ADA,DOGE,MATIC,SOL,DOT,LTC,TRX,SHIB,AVAX,LINK,ATOM,UNI,XMR,ICP,ETC,TON,XLM,FIL,BCH,HBAR,APT,CRO,LDO,ARB,NEAR,VET,APE,QNT,,,,,,,,,
28/05/2023,BTC,ETH,XRP,ADA,DOGE,MATIC,SOL,TRX,LTC,DOT,SHIB,AVAX,LINK,ATOM,UNI,XMR,ETC,XLM,TON,BCH,ICP,FIL,LDO,APT,HBAR,ARB,CRO,NEAR,VET,QNT,APE,,,,,,,,,
25/06/2023,BTC,ETH,XRP,ADA,DOGE,SOL,TRX,LTC,DOT,MATIC,TON,SHIB,AVAX,BCH,LINK,ATOM,UNI,XMR,ETC,XLM,ICP,FIL,LDO,HBAR,APT,CRO,ARB,VET,NEAR,QNT,ALGO,,,,,,,,,
30/07/2023,BTC,ETH,XRP,ADA,DOGE,SOL,TRX,LTC,MATIC,DOT,BCH,SHIB,AVAX,XLM,TON,LINK,UNI,ATOM,XMR,ETC,FIL,ICP,HBAR,MNT,LDO,APT,CRO,ARB,VET,QNT,NEAR,,,,,,,,,
27/08/2023,BTC,ETH,XRP,ADA,DOGE,SOL,TRX,DOT,TON,MATIC,LTC,SHIB,BCH,AVAX,XLM,LINK,UNI,XMR,ATOM,ETC,HBAR,ICP,FIL,MNT,LDO,APT,CRO,QNT,ARB,VET,NEAR,,,,,,,,,
24/09/2023,BTC,ETH,XRP,DOGE,ADA,SOL,TON,TRX,DOT,MATIC,LTC,SHIB,BCH,LINK,XLM,AVAX,XMR,ATOM,UNI,ETC,HBAR,FIL,LDO,ICP,MNT,CRO,APT,MKR,VET,QNT,NEAR,,,,,,,,,
29/10/2023,BTC,ETH,XRP,SOL,ADA,DOGE,TRX,TON,LINK,MATIC,DOT,LTC,BCH,SHIB,AVAX,XLM,XMR,ATOM,UNI,ETC,ICP,HBAR,FIL,APT,LDO,CRO,MKR,VET,QNT,NEAR,OP,,,,,,,,,
26/11/2023,BTC,ETH,XRP,SOL,ADA,DOGE,TRX,TON,LINK,AVAX,MATIC,DOT,LTC,SHIB,BCH,ATOM,UNI,XLM,XMR,KAS,ETC,CRO,LDO,FIL,HBAR,ICP,APT,NEAR,RUNE,IMX,VET,,,,,,,,,
31/12/2023,BTC,ETH,SOL,XRP,ADA,AVAX,DOGE,DOT,TRX,MATIC,LINK,TON,ICP,SHIB,LTC,BCH,UNI,ATOM,NEAR,XLM,OP,FIL,ETC,XMR,INJ,HBAR,APT,IMX,CRO,VET,KAS,LDO,STX,,,,,,,
28/01/2024,BTC,ETH,SOL,XRP,ADA,AVAX,DOGE,DOT,TRX,LINK,TIA,ARB,POL,ICP,TON,SHIB,LTC,APT,BCH,OP,SUI,ATOM,INJ,UNI,ETC,XLM,NEAR,IMX,FIL,XMR,TAO,LDO,HBAR,,,,,,
25/02/2024,BTC,ETH,SOL,XRP,ADA,AVAX,DOGE,TRX,LINK,DOT,MATIC,TON,UNI,ICP,SHIB,BCH,LTC,IMX,FIL,ATOM,ETC,KAS,NEAR,STX,OP,HBAR,APT,INJ,XLM,VET,LDO,MNT,TIA,,,,,,,
31/03/2024,BTC,ETH,SOL,XRP,DOGE,ADA,AVAX,TON,SHIB,DOT,BCH,LINK,TRX,MATIC,ICP,LTC,UNI,NEAR,APT,FIL,STX,ETC,ATOM,WIF,ARB,IMX,MNT,CRO,XLM,RENDER,HBAR,GRT,OP,1000PEPE,,,,,,
28/04/2024,BTC,ETH,SOL,XRP,DOGE,TON,ADA,SHIB,AVAX,TRX,DOT,BCH,LINK,NEAR,MATIC,ICP,LTC,UNI,ETC,APT,HBAR,STX,MNT,CRO,XLM,FIL,ATOM,RENDER,IMX,1000PEPE,ARB,VET,MKR,,,,,,,
26/05/2024,BTC,ETH,SOL,XRP,DOGE,TON,ADA,AVAX,SHIB,DOT,LINK,TRX,BCH,NEAR,MATIC,1000PEPE,UNI,LTC,ICP,ETC,APT,RENDER,HBAR,IMX,MNT,KAS,ATOM,FIL,ARB,CRO,XLM,GRT,TAO,WIF,,,,,,
30/06/2024,BTC,ETH,SOL,XRP,TON,DOGE,ADA,AVAX,TRX,SHIB,DOT,LINK,BCH,NEAR,LTC,UNI,MATIC,1000PEPE,KAS,ICP,ETC,APT,XMR,RENDER,HBAR,XLM,ATOM,ARB,MNT,FIL,STX,CRO,IMX,MKR,,,,,,
