lookback_period,leverage,capital_allocation,momentum_threshold,sharpe_ratio,calmar_ratio,annual_return,max_drawdown,error_type,error_msg
5,1,0.1,0.0,-5.679980984337223,-0.5405091515382179,-0.2727723900104111,-0.5046582268480316,,
5,1,0.1,0.01,-2.2044417482172283,-0.4416098868804694,-0.06650828855568847,-0.15060416564833448,,
5,1,0.1,0.02,-1.4116916593082989,-0.3605821504755656,-0.02772595503564035,-0.07689220056808986,,
5,1,0.1,0.03,-0.7447089364955503,-0.25184177932308704,-0.009768717079755462,-0.038789104436969556,,
5,1,0.1,0.04,-0.8568543981537083,-0.3264649840929004,-0.008403730607899562,-0.025741598693194482,,
5,1,0.1,0.05,-1.06772612167072,-0.35885095136862777,-0.007709698941888554,-0.02148440435363039,,
5,1,0.1,0.06,0.024676320942537577,0.0171821867674747,0.00011351075078414041,-0.006606304093901041,,
5,1,0.1,0.07,-0.22894145811828204,-0.12464974340018682,-0.000813652075424498,-0.00652750702271625,,
5,1,0.1,0.08,-0.5570079257751889,-0.25989167511331246,-0.0015712903740009443,-0.006045943462082283,,
5,1,0.1,0.09,-0.2779795667482794,-0.19743835155853162,-0.0004747008533249053,-0.002404299111989789,,
5,1,0.1,0.1,-0.6998914267475512,-0.46112470684226703,-0.0010764783483311335,-0.002334462526856873,,
5,1,0.2,0.0,-4.918052681086678,-0.6249692876941026,-0.4723638997089562,-0.7558193802639456,,
5,1,0.2,0.01,-2.144273705338102,-0.46233939311815486,-0.12938602206416627,-0.2798507416630634,,
5,1,0.2,0.02,-1.4013980578119563,-0.3706892113552962,-0.0550475725796471,-0.14850060615032412,,
5,1,0.2,0.03,-0.7475024502818369,-0.25686026543365104,-0.019610721975728218,-0.07634782258992026,,
5,1,0.2,0.04,-0.8580829157560108,-0.3302940933297888,-0.01683155896449262,-0.05095930961044105,,
5,1,0.2,0.05,-1.0671740219492127,-0.3618347162433758,-0.015411424822984965,-0.04259244381796409,,
5,1,0.2,0.06,0.02237636668818406,0.015615593561149,0.00020586198311423054,-0.013183103306838575,,
5,1,0.2,0.07,-0.23062347045372641,-0.12580590464455724,-0.001639259808324689,-0.013030070511842297,,
5,1,0.2,0.08,-0.5579799147099838,-0.2608440708171632,-0.003148064608414658,-0.012068760461192433,,
5,1,0.2,0.09,-0.2787694709518647,-0.19802590443518675,-0.0009520995178873282,-0.004807954396688274,,
5,1,0.2,0.1,-0.7002855831755234,-0.4614157302923536,-0.0021541691728960144,-0.004668608006777597,,
5,1,0.30000000000000004,0.0,-4.290000595709981,-0.7021754603845811,-0.6180621302420318,-0.8802103820368765,,
5,1,0.30000000000000004,0.01,-2.0855816148280293,-0.4833345905647884,-0.1887667895387991,-0.39055096246726406,,
5,1,0.30000000000000004,0.02,-1.3909409139430444,-0.3809505986410423,-0.08195521660044414,-0.21513345009248283,,
5,1,0.30000000000000004,0.03,-0.7501920784903368,-0.2619450415039592,-0.029521926531720588,-0.11270275002046327,,
5,1,0.30000000000000004,0.04,-0.8592543815131961,-0.33415146584369354,-0.025281806435679566,-0.07565972027639008,,
5,1,0.30000000000000004,0.05,-1.0665936234077218,-0.36483488186129814,-0.02310456463389088,-0.0633288256759251,,
5,1,0.30000000000000004,0.06,0.0200753065915189,0.014041157898844815,0.0002770384364101375,-0.01973045516658778,,
5,1,0.30000000000000004,0.07,-0.23230338548285687,-0.12696549676465338,-0.0024768008373818873,-0.019507668622546732,,
5,1,0.30000000000000004,0.08,-0.5589503142691503,-0.2617989789095001,-0.004730309252603315,-0.01806847861785783,,
